prompt,original_prompt,Object 1,Object 2,temp_object,static_object,control_signal1,control_signal2
"The video begins with a serene view centered on the bird, with no sign of the cat. In the second half, the cat unexpectedly appears, altering the dynamic of the scene.",a bird and a cat,bird,cat,cat,bird,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the kitten, with no sign of the puppy. In the second half, the puppy unexpectedly appears, altering the dynamic of the scene.",a cat and a dog,kitten,puppy,puppy,kitten,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the stallion, with no sign of the puppy. In the second half, the puppy unexpectedly appears, altering the dynamic of the scene.",a dog and a horse,puppy,stallion,puppy,stallion,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the sheep, with no sign of the horse. In the second half, the horse unexpectedly appears, altering the dynamic of the scene.",a horse and a sheep,horse,sheep,horse,sheep,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the sheep, with no sign of the cow. In the second half, the cow unexpectedly appears, altering the dynamic of the scene.",a sheep and a cow,sheep,cow,cow,sheep,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the cow, with no sign of the elephant. In the second half, the elephant unexpectedly appears, altering the dynamic of the scene.",a cow and an elephant,cow,elephant,elephant,cow,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the elephant, with no sign of the bear. In the second half, the bear unexpectedly appears, altering the dynamic of the scene.",an elephant and a bear,elephant,bear,bear,elephant,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the bear, with no sign of the zebra. In the second half, the zebra unexpectedly appears, altering the dynamic of the scene.",a bear and a zebra,bear,zebra,zebra,bear,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the giraffe, with no sign of the zebra. In the second half, the zebra unexpectedly appears, altering the dynamic of the scene.",a zebra and a giraffe,zebra,giraffe,zebra,giraffe,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"The video begins with a serene view centered on the giraffe, with no sign of the bird. In the second half, the bird unexpectedly appears, altering the dynamic of the scene.",a giraffe and a bird,giraffe,bird,bird,giraffe,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
